,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
3646,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-spid-Q78576189,"ATS Triumph
Sector 104, Gurgaon",2.65 Cr,2290.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,5 to 10 Year Old,12nd   of 27 Floors,Semifurnished,West,1 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3647,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-sovereign-park-sector-99-gurgaon-2750-sq-ft-r4-spid-Z75473449,"Vatika Sovereign Park
Sector 99, Gurgaon",3.35 Cr,2750.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,10th   of 12 Floors,Semifurnished,East,"1 Covered, 1 Open","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3648,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-2579-sq-ft-r10-spid-T67787570,"Adani M2K Oyster Grande
Sector 102, Gurgaon",3.2 Cr,2579.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Study Room,Servant Room",1 to 5 Year Old,15th   of 24 Floors,Semifurnished,North,"1 Covered, 1 Open","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3649,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-puri-emerald-bay-sector-104-gurgaon-1550-sq-ft-r18-spid-D57628504,"Puri Emerald Bay
Sector 104, Gurgaon",1.95 Cr,1550.0,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,10th   of 29 Floors,Semifurnished,South-East,"1 Covered, 1 Open","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal']"
3650,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-3198-sq-ft-r6-spid-R71743660,"Adani M2K Oyster Grande
Sector 102, Gurgaon",3.55 Cr,3198.0,4 Bedrooms,5 Bathrooms,3+ Balconies,,1 to 5 Year Old,10th   of 24 Floors,Semifurnished,South-West,1 Covered,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3651,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-2004-sq-ft-spid-E81336877,"M3M Heights
Sector 65, Gurgaon",3.9 Cr,2004.0,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,0 to 1 Year Old,34th   of 48 Floors,Semifurnished,East,2 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Swimming Pool', 'Maintenance Staff', 'Separate entry for servant room', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
3652,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-emaar-digihomes-sector-62-gurgaon-1508-sq-ft-spid-N81301335,"Emaar Digihomes
Sector 62, Gurgaon",3.35 Cr,1508.26,2 Bedrooms,2 Bathrooms,2 Balconies,Store Room,1 to 5 Year Old,15th   of 32 Floors,Unfurnished,East,2 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3653,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2295-sq-ft-spid-L81292599,"Conscient Elevate
Sector 59, Gurgaon",4.95 Cr,2295.0,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,25th   of 33 Floors,Semifurnished,East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3654,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-2979-sq-ft-spid-R80970641,"M3M Golfestate
Sector 65, Gurgaon",7 Cr,2979.0,3 Bedrooms,3 Bathrooms,3+ Balconies,"Servant Room,Study Room",1 to 5 Year Old,21st   of 40 Floors,Semifurnished,East,2 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
3655,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-3799-sq-ft-spid-G80970851,"M3M Golfestate
Sector 65, Gurgaon",9.25 Cr,3799.0,3 Bedrooms,3 Bathrooms,3+ Balconies,"Servant Room,Study Room",1 to 5 Year Old,10th   of 19 Floors,Semifurnished,East,2 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
3656,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-irene-sector-70a-gurgaon-1830-sq-ft-spid-O78549367,"Paras Irene
Sector 70A, Gurgaon",2.55 Cr,1830.0,3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,7th   of 20 Floors,Semifurnished,North-East,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3657,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paras-irene-sector-70a-gurgaon-1420-sq-ft-spid-D78549253,"Paras Irene
Sector 70A, Gurgaon",1.85 Cr,1420.0,2 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,9th   of 20 Floors,Semifurnished,North-East,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3658,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-6525-sq-ft-spid-V80156095,"Experion Windchants
Sector 112, Gurgaon",8 Cr,6525.0,5 Bedrooms,5 Bathrooms,3+ Balconies,,0 to 1 Year Old,3rd   of 28 Floors,Semifurnished,North-East,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
3659,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-4366-sq-ft-spid-A80686769,"M3M Golfestate
Sector 65, Gurgaon",8.5 Cr,4366.0,4 Bedrooms,5 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,15th   of 40 Floors,Semifurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3660,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-2979-sq-ft-spid-N80685877,"M3M Golfestate
Sector 65, Gurgaon",5.8 Cr,2979.0,3 Bedrooms,3 Bathrooms,1 Balcony,"Study Room,Servant Room",1 to 5 Year Old,25th   of 40 Floors,Semifurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3661,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-2979-sq-ft-spid-N80686007,"M3M Golfestate
Sector 65, Gurgaon",6.2 Cr,2979.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Study Room,Servant Room",1 to 5 Year Old,19th   of 40 Floors,Unfurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3662,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-skyon-sector-60-gurgaon-2403-sq-ft-spid-K80091249,"Ireo Skyon
Sector 60, Gurgaon",3.9 Cr,2403.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,8th   of 18 Floors,Semifurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3663,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-victory-valley-sector-67-gurgaon-2606-sq-ft-spid-Z80096543,"Ireo Victory Valley
Sector 67, Gurgaon",5 Cr,2606.0,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,15th   of 51 Floors,Unfurnished,West,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3664,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-pareena-express-heights-sector-99-gurgaon-2365-sq-ft-spid-M80231415,"Pareena Express Heights
Sector 99, Gurgaon",2.25 Cr,2365.0,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,0 to 1 Year Old,7th   of 14 Floors,Semifurnished,North-East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3665,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-the-marina-sector-68-gurgaon-1260-sq-ft-spid-P80290459,"M3M The Marina
Sector 68, Gurgaon",1.7 Cr,1260.0,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,10th   of 15 Floors,Furnished,North-East,"1 Covered, 1 Open","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3666,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-prerna-society-sector-56-gurgaon-1850-sq-ft-spid-M81527559,"Prerna Society
Sector 56, Gurgaon",2.35 Cr,1850.0,3 Bedrooms,3 Bathrooms,3 Balconies,Study Room,1 to 5 Year Old,5th   of 9 Floors,Semifurnished,North,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Club house / Community Center']"
3667,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-royal-apartment-sector-56-gurgaon-950-sq-ft-spid-G81479441,"Royal Apartment
Sector 56, Gurgaon",1.49 Cr,1349.0,2 Bedrooms,2 Bathrooms,1 Balcony,Others,5 to 10 Year Old,7th   of 7 Floors,Semifurnished,East,1 Covered,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
3668,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-the-seven-lamps-sector-82-gurgaon-2425-sq-ft-r1-spid-M78927161,"Vatika The Seven Lamps
Sector 82, Gurgaon",2.87 Cr,2425.0,4 Bedrooms,4 Bathrooms,3 Balconies,"Servant Room,Store Room",1 to 5 Year Old,4th   of 16 Floors,Semifurnished,South,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3669,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-514-sq-ft-spid-O80737583,"Signature The Roselia
Sector 95A, Gurgaon",57.5 Lac,730.2633999999999,2 Bedrooms,2 Bathrooms,2 Balconies,Others,1 to 5 Year Old,6th   of 19 Floors,Unfurnished,North,1 Open,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
3671,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1326-sq-ft-spid-V80695743,"Sare Homes
Sector 92, Gurgaon",1.2 Cr,1326.0,3 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,14th   of 20 Floors,,East,1 Covered,"['Intercom Facility', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']"
3672,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-wellington-estate-dlf-phase-5-gurgaon-1740-sq-ft-spid-N80276981,"DLF Wellington Estate
DLF Phase 5, Gurgaon",4 Cr,1740.0,4 Bedrooms,4 Bathrooms,3 Balconies,Store Room,10+ Year Old,10th   of 14 Floors,Semifurnished,North-East,1 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
3673,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-sovereign-park-sector-99-gurgaon-3345-sq-ft-spid-R80299441,"Vatika Sovereign Park
Sector 99, Gurgaon",4.2 Cr,3345.0,4 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,0 to 1 Year Old,4th   of 12 Floors,Semifurnished,East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
